,incident_id,incident_date,state,city_county,address,number_killed,number_injured,latitude,longitude
8,1113538,2018,New Jersey,Paulsboro,275 W Buck St,0,4,41.872262,-87.69373
9,1113737,2018,Missouri,Saint Louis,4800 block of Farlin Ave,0,4,42.9121115,-85.62301
10,1112948,2018,Oklahoma,Talihina,2nd St and Dallas St,1,4,38.5979369,-121.4276274
11,1111950,2018,Missouri,Saint Louis,5200 block of Minerva Avenue,0,4,40.6327104,-74.0271053
12,1111649,2018,Nebraska,Omaha,Sahler St and N 48th St,0,4,29.9673972,-90.1018231
13,1110399,2018,California,San Diego,15th St and J St,0,5,44.9884743,-93.2549796
14,1108856,2018,Oklahoma,Stillwater,2020 East Lakeview Road,0,4,29.3984415,-98.5042924
15,1109322,2018,Tennessee,Memphis,499 N Watkins St,2,4,41.0321327,-87.5381426
16,1108879,2018,Georgia,Columbus,4944 Sentry Street,0,5,36.7565424,-119.7711186
17,1110773,2018,North Carolina,Henderson,519 Hilliard St,0,4,37.7849319,-122.4129481
18,1109928,2018,Illinois,Chicago Heights,200 block of E 23rd St,0,4,36.1144629,-80.2452659
19,1106451,2018,Illinois,Chicago,3500 block of W Grenshaw St,1,4,30.0216391,-95.3123538
20,1106557,2018,Minnesota,Minneapolis,2400 block of Ogema Place,0,5,29.7235827,-95.4421156
21,1106432,2018,New York,Brooklyn,333 Bristol St,1,4,40.110245,-88.2353849
22,1105061,2018,Louisiana,New Orleans,3200 block of Saint Claude Ave,0,5,39.3048255,-76.6081873
23,1103454,2018,Florida,Pompano Beach,4251 N Dixie Hwy,0,4,48.4616279,-122.3386173
24,1103465,2018,District of Columbia,Washington,3600 block of New York Ave NE,0,4,39.9854586,-75.08589
0,1103423,2018,Tennessee,Wartburg,519 South Kingston St,0,4,36.1450958,-96.0023638
1,1102808,2018,Washington,Seattle (Skyway),12603 Renton Ave S,2,2,37.7640281,-122.1743935
2,1103045,2018,North Carolina,Monroe,1500 block of Massey St,1,3,37.7194881,-122.425285
3,1102900,2018,Florida,West Palm Beach,1969 S Military Trail,1,3,41.7718443,-87.672785
4,1102559,2018,North Carolina,Maxton,Modest Rd,0,5,30.7029976,-88.0786828
5,1100691,2018,Arkansas,Pine Bluff,300 block of West 24th Street,0,4,42.2699348,-88.9627801
6,1100852,2018,Missouri,Saint Louis,1151 Northdale Dr,3,1,34.027134,-118.3507829
7,1099516,2018,Michigan,Flint,2200 block of Ave A,0,4,41.883879,-87.7085187
8,1096826,2018,Tennessee,Antioch,3571 Murfreesboro Pike,4,3,41.872262,-87.69373
9,1097700,2018,Louisiana,New Orleans,1900 block of St Roch Ave,2,4,42.9121115,-85.62301
10,1096232,2018,Pennsylvania,Philadelphia,1800 block of W Diamond St,2,2,38.5979369,-121.4276274
11,1096388,2018,California,San Francisco,3rd Street and Quesada Ave,1,5,40.6327104,-74.0271053
12,1095043,2018,North Carolina,Asheville,73 Hansel Ave,4,3,29.9673972,-90.1018231
13,1092279,2018,Louisiana,Shreveport,6956 Jewella Ave,0,6,44.9884743,-93.2549796
14,1088778,2018,California,Vallejo,201 Maine St,0,4,29.3984415,-98.5042924
15,1087153,2018,North Carolina,Hickory,247 1st Ave NW,1,3,41.0321327,-87.5381426
16,1087021,2018,Florida,Miami,1300 block of NW 63rd Terrace,2,2,36.7565424,-119.7711186
17,1086773,2018,Florida,Jacksonville,6100 block of Transylvania Ave,0,4,37.7849319,-122.4129481
18,1086966,2018,Virginia,Virginia Beach,5800 block of Pickering St,1,3,36.1144629,-80.2452659
19,1084847,2018,Louisiana,New Orleans,3300 Garden Oaks Drive,2,2,30.0216391,-95.3123538
20,1083552,2018,Texas,Houston,8500 block of Redcliff Rd,1,3,29.7235827,-95.4421156
21,1083011,2018,Alabama,Mobile,3556 Halls Mill Rd,1,4,40.110245,-88.2353849
22,1082835,2018,Michigan,Saginaw,600 block of Yale St,0,5,39.3048255,-76.6081873
23,1082273,2018,New Jersey,Asbury Park,Atlantic Ave and Monmouth Ave,0,5,48.4616279,-122.3386173
24,1080234,2018,Texas,Plano,7401 Alma Dr,1,3,39.9854586,-75.08589
0,1080442,2018,New Jersey,Camden,Kaighn Ave and Haddon Ave,0,4,36.1450958,-96.0023638
1,1077180,2018,Utah,Salt Lake City (West Valley City),3180 South 5600 West,0,4,37.7640281,-122.1743935
2,1074886,2018,California,San Francisco,949 Geneva Ave,1,5,37.7194881,-122.425285
3,1071427,2018,Kentucky,Louisville,2928 W Kentucky St,0,7,41.7718443,-87.672785
4,1071381,2018,Illinois,Harvey,16700 S Halsted St,0,4,30.7029976,-88.0786828
5,1078612,2018,Florida,Macclenny,South Blvd,0,4,42.2699348,-88.9627801
6,1068615,2018,California,Modesto,2000 block of Robertson Rd,0,4,34.027134,-118.3507829
7,1067061,2018,Indiana,South Bend,800 block of E Dayton St,0,6,41.883879,-87.7085187
8,1067264,2018,Illinois,Champaign,700 block of N Hickory St,1,3,41.872262,-87.69373
9,1067296,2018,Michigan,Saginaw,Cumberland Ave and Hess St,1,4,42.9121115,-85.62301
10,1066594,2018,North Carolina,Wadesboro,1300 E Caswell St,3,1,38.5979369,-121.4276274
11,1064514,2018,Alabama,Hurtsboro,531 Main Street,2,2,40.6327104,-74.0271053
12,1062466,2018,Illinois,Rockford,426 Howard Ave,1,4,29.9673972,-90.1018231
13,1061748,2018,New York,Brooklyn,Kings Highway and Utica Avenue,1,3,44.9884743,-93.2549796
14,1062123,2018,Florida,Miami,1300 Block of NW 62nd Ln,0,4,29.3984415,-98.5042924
15,1059559,2018,Connecticut,Bridgeport,1306 Stratford Ave,0,4,41.0321327,-87.5381426
16,1057518,2018,Michigan,Detroit,22700 Fenkell Ave,5,0,36.7565424,-119.7711186
17,1056240,2018,Florida,Palm Beach Gardens (Riviera Beach),W 23rd St,1,3,37.7849319,-122.4129481
18,1052372,2018,Texas,San Antonio,2893 Cinema Ridge,0,5,36.1144629,-80.2452659
19,1052035,2018,Kansas,Kansas City,1615 Minnesota,1,7,30.0216391,-95.3123538
20,1051407,2018,Tennessee,Memphis,3188 N Watkins Ave,0,5,29.7235827,-95.4421156
21,1051291,2018,Oklahoma,Oklahoma City,1700 block of SW 15,1,3,40.110245,-88.2353849
22,1049217,2018,Florida,Pompano Beach (Parkland),5901 Pine Island Rd,17,17,39.3048255,-76.6081873
23,1049024,2018,Louisiana,New Orleans,5400 block of Andry St,2,3,48.4616279,-122.3386173
24,1047761,2018,Michigan,Detroit,19432 Lamont St,4,3,39.9854586,-75.08589
0,1046961,2018,Kentucky,Paintsville,413 Mill St,5,0,36.1450958,-96.0023638
1,1044234,2018,Florida,Lake Worth (Lantana),I-95 and Lantana Ave,3,3,37.7640281,-122.1743935
2,1043447,2018,Colorado,Colorado Springs,4225 Galley Rd,2,4,37.7194881,-122.425285
3,1042280,2018,Ohio,Cleveland (Garfield Heights),11321 Broadway Ave,1,5,41.7718443,-87.672785
4,1040815,2018,Missouri,Saint Louis,Goodfellow Blvd and Dr Martin Luther King Dr,0,4,30.7029976,-88.0786828
5,1037529,2018,Pennsylvania,Melcroft,1301 Indian Creek Valley Rd,5,0,42.2699348,-88.9627801
6,1037515,2018,Indiana,Indianapolis,1313 N Sherman Dr,2,3,34.027134,-118.3507829
7,1038429,2018,Pennsylvania,Reading,123 S 3rd St,4,0,41.883879,-87.7085187
8,1037438,2018,Kentucky,Bowling Green,645 Pearl Street,0,4,41.872262,-87.69373
9,1037541,2018,California,Los Angeles,243 East 119th St,0,5,42.9121115,-85.62301
10,1035803,2018,District of Columbia,Washington,1600 block of Kenilworth Ave NE,0,4,38.5979369,-121.4276274
11,1033262,2018,Kentucky,Benton,416 High School Rd,2,14,40.6327104,-74.0271053
12,1034205,2018,Pennsylvania,Philadelphia,N 24th St and Ridge Ave,0,4,29.9673972,-90.1018231
13,1032393,2018,Florida,Orlando,3101 Willow Bend Blvd,0,4,44.9884743,-93.2549796
14,1031851,2018,Illinois,Chicago,3200 W Division St,0,4,29.3984415,-98.5042924
15,1029095,2018,District of Columbia,Washington,2000 block of 16th St SE,1,3,41.0321327,-87.5381426
16,1042072,2018,Florida,Alachua,14223 NW 156th Pl,0,5,36.7565424,-119.7711186
17,1026804,2018,Alabama,Eutaw,809 Mesopotamia St,1,4,37.7849319,-122.4129481
18,1027013,2018,Alabama,Madison,101 Westchester Dr,0,4,36.1144629,-80.2452659
19,1025673,2018,Tennessee,Nashville,2614 Jenkins Ct,3,2,30.0216391,-95.3123538
20,1025272,2018,Missouri,Saint Robert (St Robert),St Robert Outer Road and Houston Road,2,2,29.7235827,-95.4421156
21,1022067,2018,Alabama,Union Springs,US-29,1,5,40.110245,-88.2353849
22,1022055,2018,Florida,Plantation,5225 W Broward Blvd,0,4,39.3048255,-76.6081873
23,1021788,2018,Mississippi,Hattiesburg,6168 US 49,0,6,48.4616279,-122.3386173
24,1020574,2018,Arkansas,Brinkley,615 W 6th St,1,3,39.9854586,-75.08589
0,1018295,2018,Alabama,Huntsville,2025 Sparkman Dr NW,1,3,36.1450958,-96.0023638
1,1017372,2017,Colorado,Littleton (Highlands Ranch),3404 E County Line Rd,2,6,37.7640281,-122.1743935
2,1017422,2017,Illinois,Chicago,2335 Howard St,0,4,37.7194881,-122.425285
3,1018118,2017,New Jersey,Long Branch,635 Wall St,4,0,41.7718443,-87.672785
4,1015666,2017,Nevada,Las Vegas,3750 E Bonanza Rd,2,2,30.7029976,-88.0786828
5,1015336,2017,Florida,Miami,NW 18th Ave and 86th Ter,0,5,42.2699348,-88.9627801
6,1013983,2017,Mississippi,Vicksburg,1111 Mulberry Street,0,5,34.027134,-118.3507829
7,1014052,2017,Alabama,Troy,100 block of Chapman St,1,4,41.883879,-87.7085187
8,1014971,2017,Louisiana,Eunice,100 block of City Avenue,1,3,41.872262,-87.69373
9,1013377,2017,Alabama,Birmingham,3rd Ave N and 9th St N,0,4,42.9121115,-85.62301
10,1011953,2017,Pennsylvania,Philadelphia,6600 block of Dorel St,1,3,38.5979369,-121.4276274
11,1012704,2017,Louisiana,Lafayette,1500 block of N University Avenue,0,4,40.6327104,-74.0271053
12,1009629,2017,Mississippi,Mc Cool (Mccool),Ferguson Rd,0,4,29.9673972,-90.1018231
13,1008310,2017,California,Pacoima,13041 Jouett Street,0,5,44.9884743,-93.2549796
14,1007054,2017,Ohio,Columbus,200 block of E Barthman Ave,1,3,29.3984415,-98.5042924
15,1006150,2017,Kentucky,Louisville,17th and Gallagher Streets,0,4,41.0321327,-87.5381426
16,1006446,2017,Texas,Garland,1301 Rivercrest Ln,0,4,36.7565424,-119.7711186
17,1004454,2017,Massachusetts,Boston,Proctor St,0,4,37.7849319,-122.4129481
18,1002514,2017,Illinois,Chicago,4620 N Broadway,0,4,36.1144629,-80.2452659
19,1001566,2017,Pennsylvania,Pittsburgh,7200 block of Everton St,2,2,30.0216391,-95.3123538
20,1000479,2017,Tennessee,Memphis,656 Marshall Ave,1,3,29.7235827,-95.4421156
21,999969,2017,Michigan,Detroit,5200 Woodward Avenue,0,4,40.110245,-88.2353849
22,998843,2017,Michigan,Detroit,11000 block of Gunston,1,4,39.3048255,-76.6081873
23,994323,2017,Mississippi,Brookhaven,119 Martin Street,1,6,48.4616279,-122.3386173
24,995015,2017,Ohio,Cleveland,11618 Buckeye Rd,1,5,39.9854586,-75.08589
0,991017,2017,Minnesota,Minneapolis,3600 block of N Emerson Ave,0,4,36.1450958,-96.0023638
1,990974,2017,Louisiana,New Iberia,900 Block of Mississippi St,0,4,37.7640281,-122.1743935
2,989838,2017,Georgia,Columbus,1400 block of 15th Street,0,7,37.7194881,-122.425285
3,988824,2017,California,Richmond,900 Block of View Dr,2,2,41.7718443,-87.672785
4,987611,2017,California,Corning,17357 Stagecoach Rd,6,12,30.7029976,-88.0786828
5,986236,2017,Indiana,Gary,4601 Melton Rd,0,7,42.2699348,-88.9627801
6,987134,2017,California,Fresno,S Calvin Ave,0,5,34.027134,-118.3507829
7,986816,2017,Georgia,Atlanta,50 Lower Alabama St,2,2,41.883879,-87.7085187
8,985582,2017,Texas,Dallas,2532 Martin Luther King Jr Blvd,1,3,41.872262,-87.69373
9,985832,2017,North Carolina,Fayetteville,2835 Bragg Blvd,1,5,42.9121115,-85.62301
10,986092,2017,Louisiana,New Orleans,Forstall St and Burgundy St,1,5,38.5979369,-121.4276274
11,984822,2017,Ohio,Dayton (Trotwood),193 Olive Rd,0,4,40.6327104,-74.0271053
12,984455,2017,Pennsylvania,Philadelphia,1800 block of Ringgold,0,4,29.9673972,-90.1018231
13,980577,2017,Texas,Sutherland Springs,216 4th St,27,20,44.9884743,-93.2549796
14,980269,2017,Texas,Austin,N Lamar Blvd and Masterson Pass,0,4,29.3984415,-98.5042924
15,980192,2017,Ohio,Youngstown,2810 Market St,0,4,41.0321327,-87.5381426
16,980060,2017,California,Santa Monica,1515 Ocean Avenue,1,3,36.7565424,-119.7711186
17,979651,2017,Minnesota,Minneapolis,10th Ave S and E 24th St,0,4,37.7849319,-122.4129481
18,980258,2017,California,Gardena,E 163rd St and S Main St,0,4,36.1144629,-80.2452659
19,980004,2017,New York,Buffalo,147 Roosevelt Ave,0,4,30.0216391,-95.3123538
20,980401,2017,Louisiana,Lacombe,27600 block of Mirmar Street,1,4,29.7235827,-95.4421156
21,975600,2017,Texas,Austin,5500 block of Ave F,1,3,40.110245,-88.2353849
22,975817,2017,Ohio,Toledo,1327 N Huron St,0,4,39.3048255,-76.6081873
23,974704,2017,Virginia,Petersburg,N Sycamore St and Franklin,1,3,48.4616279,-122.3386173
24,974051,2017,Kentucky,Louisville,1716 Prentice St,0,6,39.9854586,-75.08589
0,974411,2017,California,San Francisco,1100 block of Fillmore,0,4,36.1450958,-96.0023638
1,966895,2017,California,Clearlake Oaks,13000 block of Anchor Village,2,3,37.7640281,-122.1743935
2,966153,2017,Connecticut,Hartford,Wethersfield Avenue and Elliott Street,0,4,37.7194881,-122.425285
3,966178,2017,Alabama,Lanett,1606 19th St Sw,2,7,41.7718443,-87.672785
4,965066,2017,Florida,Tampa,400 block of E Nordica St,0,4,30.7029976,-88.0786828
5,965077,2017,Florida,Jacksonville,164 E Eubanks St,0,4,42.2699348,-88.9627801
6,965756,2017,Tennessee,Nashville,1277 12th Ave S,0,4,34.027134,-118.3507829
7,965251,2017,Pennsylvania,Chester,1200 block of W Carlas Ln,0,4,41.883879,-87.7085187
8,962359,2017,Maryland,Edgewood,2111 Emmorton Park Rd,3,3,41.872262,-87.69373
9,962155,2017,New York,Brooklyn,181 Martense St,0,4,42.9121115,-85.62301
10,962623,2017,Mississippi,Meridian,5th Street,1,3,38.5979369,-121.4276274
11,960036,2017,Texas,Houston,6233 Gulfton St,2,2,40.6327104,-74.0271053
12,959126,2017,Arizona,Phoenix,107th Ave and Camelback Rd,1,3,29.9673972,-90.1018231
13,957980,2017,California,Aliso Viejo,6 Asbury Ct,2,2,44.9884743,-93.2549796
14,957562,2017,Ohio,Pedro,15497 SR 93,4,0,29.3984415,-98.5042924
15,956942,2017,California,San Francisco,25th St and Treat Ave,0,4,41.0321327,-87.5381426
16,955268,2017,Texas,Houston,3352 Old Spanish Trail,0,5,36.7565424,-119.7711186
17,954428,2017,Arizona,Phoenix,87th Ave and Thomas Rd,0,4,37.7849319,-122.4129481
18,953156,2017,Illinois,Chicago,8000 block of S Marshfield,0,5,36.1144629,-80.2452659
19,952720,2017,Arizona,Casa Grande,400 block of W 13th Street,4,0,30.0216391,-95.3123538
20,952220,2017,Florida,Miami,2051 NW 65th St,0,4,29.7235827,-95.4421156
21,945990,2017,Kansas,Lawrence,1000 block of Massachusetts St,3,2,40.110245,-88.2353849
22,946496,2017,Nevada,Las Vegas,3950 Las Vegas Blvd S,59,441,39.3048255,-76.6081873
23,946138,2017,Tennessee,Memphis,800 block of Kerr Avenue,1,3,48.4616279,-122.3386173
24,944448,2017,Louisiana,New Orleans,2001 N Rocheblave St,1,3,39.9854586,-75.08589
0,942628,2017,Pennsylvania,Philadelphia,100 block of Pastorius St,1,3,36.1450958,-96.0023638
1,942522,2017,Tennessee,Memphis,2531 Chelsea Ave,0,4,37.7640281,-122.1743935
2,942830,2017,Maryland,Baltimore,3200 block of Lyndale Ave,2,2,37.7194881,-122.425285
3,941144,2017,Maryland,Baltimore,500 block of E. Patapsco Avenue,0,4,41.7718443,-87.672785
4,940554,2017,Tennessee,Antioch,3890 Pin Hook Rd,1,8,30.7029976,-88.0786828
5,940644,2017,New York,Syracuse,1226 E Fayette St,0,4,42.2699348,-88.9627801
6,1974755,2017,Pennsylvania,Philadelphia,3400 block of H St,0,4,34.027134,-118.3507829
7,941257,2017,New Jersey,Mays Landing,6000 block of Hoover Dr,1,3,41.883879,-87.7085187
8,939834,2017,California,Bakersfield,818 Real Rd,1,4,41.872262,-87.69373
9,940068,2017,Illinois,Danville,Seminary St and Jackson St,0,5,42.9121115,-85.62301
10,940142,2017,Connecticut,Hartford,1164 Albany Ave,2,2,38.5979369,-121.4276274
11,939482,2017,Indiana,Gary,4300 block of 23rd Ct,0,5,40.6327104,-74.0271053
12,936028,2017,Michigan,Detroit,5000 block of Stanton Street,1,3,29.9673972,-90.1018231
13,935928,2017,Virginia,Petersburg,300 Mistletoe St,1,4,44.9884743,-93.2549796
14,934036,2017,South Carolina,Columbia,920 Lady Street,0,8,29.3984415,-98.5042924
15,932526,2017,Tennessee,Memphis,1000 block of Morehead St,1,5,41.0321327,-87.5381426
16,932181,2017,Washington,Rockford,14626 S Jackson Rd,1,3,36.7565424,-119.7711186
17,932906,2017,Pennsylvania,York,400 block of S Duke St,0,4,37.7849319,-122.4129481
18,932619,2017,Pennsylvania,Philadelphia,3100 block of N 2nd St,0,4,36.1144629,-80.2452659
19,930569,2017,Texas,Plano,1712 West Spring Creek Parkway,9,1,30.0216391,-95.3123538
20,930266,2017,Louisiana,New Orleans,2101 N Claiborne Ave,1,3,29.7235827,-95.4421156
21,931139,2017,Alabama,Selma,Kings Bend Road,0,4,40.110245,-88.2353849
22,928380,2017,Illinois,Chicago,2700 block of Madison,0,4,39.3048255,-76.6081873
23,927277,2017,Illinois,Bellwood,1000 block of Bellwood Ave,0,4,48.4616279,-122.3386173
24,926766,2017,California,Inglewood,10100 block of S Firmona Ave,2,3,39.9854586,-75.08589
0,925809,2017,Kentucky,Louisville,8008 Watterson Trl,0,4,36.1450958,-96.0023638
1,925436,2017,Illinois,Chicago,8300 block of S Hermitage,1,3,37.7640281,-122.1743935
2,922184,2017,New Mexico,Clovis,701 N Main St,2,4,37.7194881,-122.425285
3,921733,2017,California,Sacramento,7760 24th St,1,4,41.7718443,-87.672785
4,921653,2017,Indiana,Evansville,1127 Chestnut St,1,3,30.7029976,-88.0786828
5,921289,2017,Florida,Gainesville,1600 NE 8th Ave,0,4,42.2699348,-88.9627801
6,920513,2017,Missouri,Saint Louis,10400 block of Balmoral Dr,4,0,34.027134,-118.3507829
7,918204,2017,Illinois,Chicago,300 block of N Central Ave,0,4,41.883879,-87.7085187
8,917793,2017,New Jersey,Newark,Fabyan Place,0,4,41.872262,-87.69373
9,917820,2017,North Carolina,Whitakers,980 Fishing Creek Rd,4,0,42.9121115,-85.62301
10,918061,2017,New Jersey,Newark,700 block of S 19th St,1,3,38.5979369,-121.4276274
11,917713,2017,Maryland,Baltimore,Cottage Avenue and Park Heights Avenue,1,3,40.6327104,-74.0271053
12,917838,2017,Tennessee,Memphis,262 Decatur St,0,4,29.9673972,-90.1018231
13,916808,2017,New York,Brooklyn,100th St and Ave M,0,4,44.9884743,-93.2549796
14,916848,2017,Illinois,Chicago,11901 S Loomis St,2,5,29.3984415,-98.5042924
15,916551,2017,Ohio,Cleveland,11143 Superior Ave,1,4,41.0321327,-87.5381426
16,914819,2017,New York,Wyandanch,Merritt Ave and 15th St,0,4,36.7565424,-119.7711186
17,913924,2017,California,North Hollywood,Morrison St and Klump Ave,2,2,37.7849319,-122.4129481
18,912805,2017,Pennsylvania,Philadelphia,39th St and Melon St,0,5,36.1144629,-80.2452659
19,912322,2017,California,Sacramento,4000 Block of Martin Luther King Jr Blvd,0,4,30.0216391,-95.3123538
20,912375,2017,Virginia,Suffolk,8700 block of Quay Rd,0,4,29.7235827,-95.4421156
21,912093,2017,Missouri,Saint Louis,12310 Bellefontaine Rd,1,3,40.110245,-88.2353849
22,909423,2017,Illinois,Chicago,50 block of E 37th St,1,6,39.3048255,-76.6081873
23,907555,2017,New York,Bronx,Wickham Ave,0,6,48.4616279,-122.3386173
24,907546,2017,New York,Bronx,Unionport Rd,0,4,39.9854586,-75.08589
0,907857,2017,California,Oakland,1000 block of 106th Avenue,0,7,36.1450958,-96.0023638
1,907247,2017,New Jersey,Lakewood,900 block of Brook Road,0,4,37.7640281,-122.1743935
2,907611,2017,South Carolina,Allendale,300 block of Ellis St,1,3,37.7194881,-122.425285
3,906568,2017,Florida,Tallahassee,1939 W Tennessee St,1,3,41.7718443,-87.672785
